dist An0dreX = 0.000000, tpl = 528.774048, td = 17.888544
dist An0dreX = 26.400757, tpl = 585.192261, td = 8.000000
dist Cul-de-jatte = 25.612497, tpl = 279.145111, td = 35.128338
dist An0dreX = 26.400757, tpl = 632.724243, td = 62.369865
dist Koyot = 0.000000, tpl = 398.870911, td = 571.135681
dist .research' = 25.612497, tpl = 399.459625, td = 148.013519
dist Redx73 = 24.166092, tpl = 49.648766, td = 49.648766
dist noby = 7.810250, tpl = 619.948364, td = 72.249565
dist Inļ🂱kech = 29.120440, tpl = 399.061401, td = 754.539612
dist An0dreX = 28.017851, tpl = 632.790649, td = 119.406868
dist jo_ = 31.780497, tpl = 399.490936, td = 22.135944
dist I am noby = 21.095022, tpl = 556.385681, td = 72.062469
dist Sasuke = 21.377558, tpl = 399.151611, td = 180.886703
dist noby = 20.000000, tpl = 537.008362, td = 25.000000
dist I am noby = 32.756680, tpl = 109.004585, td = 370.472656
dist Koyot = 18.027756, tpl = 399.051361, td = 617.936096
dist jo_ = 0.000000, tpl = 398.870911, td = 89.872131
dist noby = 30.870699, tpl = 489.555908, td = 69.260376
dist noby = 37.161808, tpl = 441.889130, td = 29.546574
dist Flam = 9.486833, tpl = 399.110260, td = 513.250427
dist noby = 27.313000, tpl = 320.156219, td = 73.246162
dist Flam = 9.486833, tpl = 398.918549, td = 755.441589
dist jo_ = 20.124611, tpl = 399.235535, td = 292.263580
dist noby = 31.384710, tpl = 478.461060, td = 71.840103
dist Cul-de-jatte = 0.000000, tpl = 279.835663, td = 128.996124
dist Gary = 0.000000, tpl = 399.844971, td = 666.142639
dist Inļ🂱kech = 6.403124, tpl = 399.224243, td = 521.425903
dist jo_ = 11.313708, tpl = 333.000000, td = 250.800720
dist noby = 31.575306, tpl = 321.810516, td = 45.000000
dist Sasuke = 0.000000, tpl = 399.235535, td = 322.845154
dist jo_ = 36.878178, tpl = 633.142151, td = 234.046997
dist Koyot = 27.802877, tpl = 399.606049, td = 377.690338
dist Sasuke = 30.675724, tpl = 399.712402, td = 73.000000
dist Gary = 0.000000, tpl = 399.572266, td = 427.151031
dist I am noby = 5.830952, tpl = 286.225433, td = 107.540688
dist :Ram = 34.234486, tpl = 50.990196, td = 194.435074
dist An0dreX = 32.756680, tpl = 633.012634, td = 138.003616
dist HARIBO = 33.060551, tpl = 499.729919, td = 30.149628
dist I am noby = 31.048349, tpl = 443.117371, td = 81.498466
dist sunterry = 24.758837, tpl = 618.505432, td = 110.453613
dist jo_ = 0.000000, tpl = 399.430847, td = 301.529449
dist :Ram = 34.234486, tpl = 399.656097, td = 691.035461
dist Cul-de-jatte = 0.000000, tpl = 279.121826, td = 388.329742
dist Gary = 0.000000, tpl = 399.764923, td = 526.711487
dist Koyot = 27.802877, tpl = 399.111511, td = 507.424866
dist I am noby = 32.015621, tpl = 633.018188, td = 28.635643
dist noby = 34.438351, tpl = 505.339478, td = 16.970562
dist An0dreX = 10.630146, tpl = 584.278198, td = 0.000000
dist sunterry = 20.615528, tpl = 632.792236, td = 153.160049
dist Gary = 33.955853, tpl = 399.055145, td = 376.852753
dist Gary = 33.955853, tpl = 399.270599, td = 529.411926
dist Gary = 33.955853, tpl = 399.504700, td = 270.025909
dist Sasuke = 34.014702, tpl = 354.492584, td = 169.248337
dist Sasuke = 5.385165, tpl = 399.846222, td = 522.804932
dist Cul-de-jatte = 16.278820, tpl = 279.064514, td = 152.486069
dist Sasuke = 23.000000, tpl = 399.881226, td = 495.903229
dist jo_ = 24.083189, tpl = 399.115265, td = 1024.781982
dist noby = 14.317822, tpl = 567.683899, td = 27.166155
dist Cul-de-jatte = 34.132095, tpl = 279.544281, td = 152.970581
dist An0dreX = 18.384777, tpl = 632.314026, td = 524.720886
dist Cul-de-jatte = 21.095022, tpl = 279.041229, td = 52.839378
dist HARIBO = 0.000000, tpl = 499.417664, td = 45.221676
dist noby = 31.622776, tpl = 155.794739, td = 15.000000
dist An0dreX = 36.124783, tpl = 444.932587, td = 32.984844
dist I am noby = 35.114101, tpl = 568.225281, td = 725.024841
dist HARIBO = 0.000000, tpl = 124.486946, td = 22.360680
dist Sasuke = 23.600847, tpl = 399.399536, td = 242.853867
dist Redx73 = 0.000000, tpl = 49.203659, td = 49.203659
dist I am noby = 35.114101, tpl = 430.116272, td = 81.608826
dist sunterry = 21.400934, tpl = 369.855377, td = 133.794617
dist HARIBO = 0.000000, tpl = 499.299500, td = 291.042938
dist jo_ = 0.000000, tpl = 632.987366, td = 25.000000
dist sunterry = 20.000000, tpl = 321.014008, td = 32.140316
dist Redx73 = 31.906113, tpl = 49.203659, td = 49.203659
dist :Ram = 34.234486, tpl = 399.572266, td = 192.520126
dist HARIBO = 0.000000, tpl = 124.470879, td = 11.401754
dist Cul-de-jatte = 27.586229, tpl = 279.034058, td = 85.475143
dist jo_ = 0.000000, tpl = 399.129059, td = 569.434814
dist Sasuke = 0.000000, tpl = 399.185425, td = 83.934502
dist Inļ🂱kech = 36.496574, tpl = 399.083954, td = 597.810181
dist An0dreX = 10.440307, tpl = 561.400024, td = 53.665630
dist .research' = 0.000000, tpl = 59.413803, td = 167.260269
dist noby = 18.384777, tpl = 619.528870, td = 10.049875
dist I am noby = 32.756680, tpl = 190.709198, td = 72.062469
dist sunterry = 0.000000, tpl = 558.860474, td = 9.486833
dist sunterry = 0.000000, tpl = 269.007446, td = 376.903168
dist Koyot = 26.870058, tpl = 399.684875, td = 481.772766
dist :Ram = 0.000000, tpl = 399.592285, td = 328.239227
dist HARIBO = 0.000000, tpl = 499.516754, td = 2.236068
dist sunterry = 37.443291, tpl = 631.535400, td = 244.616028
dist Koyot = 26.870058, tpl = 399.170380, td = 690.427429
dist Flam = 25.612497, tpl = 394.442657, td = 4.472136
dist Flam = 25.612497, tpl = 399.362000, td = 143.558350
dist An0dreX = 22.472204, tpl = 270.534668, td = 63.505905
dist Flam = 36.878178, tpl = 399.686127, td = 169.805771
dist noby = 29.410883, tpl = 633.315857, td = 120.950401
dist noby = 7.071068, tpl = 580.266296, td = 15.000000
dist :Ram = 11.704700, tpl = 348.209717, td = 18.027756
dist .research' = 31.048349, tpl = 399.365753, td = 393.223846
dist :Ram = 28.653097, tpl = 399.058899, td = 335.721619
dist :Ram = 37.735924, tpl = 399.260559, td = 103.406960
dist jo_ = 26.019224, tpl = 399.624817, td = 307.826263
dist Sasuke = 0.000000, tpl = 399.051361, td = 122.674362
dist :Ram = 17.464249, tpl = 393.125946, td = 772.891968
dist jo_ = 26.019224, tpl = 399.284363, td = 498.623108
dist I am noby = 0.000000, tpl = 633.127136, td = 129.015503
dist Koyot = 0.000000, tpl = 399.369507, td = 673.594849
dist An0dreX = 29.427877, tpl = 632.842773, td = 317.590942
dist :Ram = 34.438351, tpl = 398.914764, td = 703.563049
dist Cul-de-jatte = 37.536648, tpl = 279.028687, td = 1.414214
dist Koyot = 0.000000, tpl = 399.772430, td = 70.000000
dist Inļ🂱kech = 33.837849, tpl = 399.444611, td = 560.560425
dist sunterry = 23.345236, tpl = 433.290894, td = 0.000000
